TouchpointID,CustomerID,ChannelID,Timestamp
T00001,C0001,CH03,2023-02-18 00:51:00
T00002,C0001,CH01,2023-07-17 22:59:00
T00003,C0001,CH03,2024-01-21 06:02:00
T00004,C0001,CH05,2024-08-07 13:46:00
T00005,C0001,CH02,2024-09-01 13:08:00
T05350,C0001,CH06,2024-09-01 13:08:01
T00006,C0002,CH04,2023-02-22 16:32:00
T00007,C0002,CH05,2023-06-02 16:55:00
T00008,C0002,CH02,2023-07-27 12:20:00
T00009,C0002,CH03,2024-02-11 12:34:00
T00010,C0002,CH04,2024-10-22 06:55:00
T05380,C0002,CH06,2024-10-22 06:55:01
T00011,C0003,CH04,2023-03-10 06:43:00
T00012,C0003,CH04,2023-03-11 19:57:00
T00013,C0003,CH03,2023-06-28 19:43:00
T00014,C0003,CH02,2023-07-11 09:53:00
T00015,C0003,CH01,2024-02-22 10:51:00
T00016,C0003,CH02,2024-11-03 05:43:00
T05019,C0003,CH06,2024-11-03 05:43:01
T00017,C0004,CH04,2023-04-03 22:25:00
T00018,C0004,CH02,2023-07-10 02:05:00
T00019,C0004,CH01,2023-12-14 08:30:00
T00020,C0004,CH04,2024-07-11 04:40:00
T00021,C0004,CH02,2024-07-24 15:02:00
T00022,C0004,CH03,2024-09-29 10:50:00
T00023,C0005,CH01,2023-05-29 21:38:00
T00024,C0005,CH01,2024-02-15 01:44:00
T00025,C0005,CH04,2024-02-20 05:35:00
T00026,C0005,CH02,2024-03-06 04:55:00
T00027,C0005,CH01,2024-11-13 22:58:00
T05003,C0005,CH06,2024-11-13 22:58:01
T00028,C0006,CH01,2023-08-16 05:07:00
T00029,C0006,CH03,2023-08-25 20:22:00
T00030,C0006,CH04,2023-11-24 13:06:00
T00031,C0006,CH03,2023-11-29 03:49:00
T00032,C0006,CH05,2024-08-04 19:45:00
T00033,C0006,CH05,2024-10-11 23:14:00
T00034,C0006,CH01,2024-11-23 03:34:00
T05131,C0006,CH06,2024-11-23 03:34:01
T00035,C0007,CH04,2023-04-19 02:06:00
